53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;43 32 11;111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;
53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;93 96 11;93 96 11;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;43 32 11;43 32 11;111 178 249;111 178 249;111 178 249;122 193 240;122 193 240;157 157 6;157 157 6;157 157 6;155 94 44;93 96 11;157 157 6;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;
83 142 253;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;83 142 253;83 142 253;93 96 11;93 96 11;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;83 142 253;111 178 249;111 178 249;111 178 249;111 178 249;80 51 23;80 51 23;135 181 250;135 181 250;135 181 250;135 181 250;135 181 250;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;
111 178 249;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;43 32 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;80 51 23;135 181 250;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;197 112 50;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;111 178 249;111 178 249;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;
111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;53 70 0;93 96 11;111 178 249;111 178 249;111 178 249;111 178 249;43 32 11;111 178 249;111 178 249;43 32 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;135 181 250;135 181 250;135 181 250;135 181 250;135 181 250;135 181 250;135 181 250;153 209 240;153 209 240;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;122 193 240;122 193 240;122 193 240;93 96 11;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;135 181 250;157 157 6;157 157 6;157 157 6;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;53 70 0;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;43 32 11;43 32 11;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;111 178 249;111 178 249;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;53 70 0;
111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;43 32 11;53 70 0;53 70 0;93 96 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;43 32 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;111 178 249;111 178 249;111 178 249;153 209 240;153 209 240;135 181 250;93 96 11;93 96 11;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;93 96 11;93 96 11;93 96 11;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;53 70 0;53 70 0;43 32 11;43 32 11;93 96 11;93 96 11;93 96 11;53 70 0;111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;
111 178 249;111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;111 178 249;111 178 249;111 178 249;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;93 96 11;93 96 11;93 96 11;43 32 11;93 96 11;93 96 11;43 32 11;43 32 11;93 96 11;93 96 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;43 32 11;111 178 249;111 178 249;111 178 249;111 178 249;43 32 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;135 181 250;153 209 240;153 209 240;153 209 240;153 209 240;155 94 44;153 209 240;153 209 240;153 209 240;218 232 226;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;153 209 240;155 94 44;155 94 44;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;53 70 0;53 70 0;93 96 11;93 96 11;43 32 11;43 32 11;93 96 11;93 96 11;93 96 11;111 178 249;111 178 249;111 178 249;111 178 249;80 51 23;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;111 178 249;
111 178 249;111 178 249;111 178 249;111 178 249;155 94 44;111 178 249;111 178 249;111 178 249;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;155 94 44;155 94 44;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;43 32 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;93 96 11;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;111 178 249;111 178 249;43 32 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;155 94 44;153 209 240;218 232 226;218 232 226;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;157 157 6;157 157 6;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;111 178 249;111 178 249;43 32 11;93 96 11;93 96 11;93 96 11;111 178 249;111 178 249;111 178 249;111 178 249;111 178 249;80 51 23;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;111 178 249;
122 193 240;122 193 240;122 193 240;122 193 240;155 94 44;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;43 32 11;43 32 11;122 193 240;122 193 240;155 94 44;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;43 32 11;43 32 11;80 51 23;80 51 23;43 32 11;93 96 11;93 96 11;80 51 23;80 51 23;80 51 23;43 32 11;80 51 23;122 193 240;122 193 240;122 193 240;153 209 240;153 209 240;153 209 240;122 193 240;122 193 240;122 193 240;43 32 11;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;153 209 240;153 209 240;153 209 240;153 209 240;154 181 173;155 94 44;155 94 44;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;157 157 6;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;43 32 11;93 96 11;93 96 11;122 193 240;122 193 240;43 32 11;43 32 11;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;80 51 23;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;
122 193 240;122 193 240;122 193 240;80 51 23;80 51 23;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;43 32 11;43 32 11;122 193 240;122 193 240;155 94 44;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;80 51 23;80 51 23;43 32 11;80 51 23;153 209 240;153 209 240;80 51 23;80 51 23;80 51 23;43 32 11;80 51 23;80 51 23;122 193 240;122 193 240;122 193 240;153 209 240;153 209 240;153 209 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;154 181 173;154 181 173;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;155 94 44;155 94 44;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;153 209 240;153 209 240;153 209 240;157 157 6;157 157 6;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;93 96 11;43 32 11;154 181 173;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;80 51 23;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;80 51 23;122 193 240;
205 204 0;205 204 0;205 204 0;155 94 44;80 51 23;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;43 32 11;122 193 240;122 193 240;155 94 44;155 94 44;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;80 51 23;80 51 23;80 51 23;43 32 11;80 51 23;80 51 23;80 51 23;80 51 23;80 51 23;155 94 44;155 94 44;80 51 23;153 209 240;153 209 240;153 209 240;153 209 240;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;154 181 173;154 181 173;154 181 173;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;153 209 240;218 232 226;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;154 181 173;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;218 232 226;157 157 6;93 96 11;93 96 11;93 96 11;122 193 240;122 193 240;122 193 240;43 32 11;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;43 32 11;43 32 11;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;80 51 23;80 51 23;122 193 240;122 193 240;122 193 240;122 193 240;122 193 240;80 51 23;122 193 240;
